O00000000001|C000000013|2025-06-14|SHIPPED|1006.83
O00000000002|C000000020|2025-06-26|SHIPPED|1351.64
O00000000003|C000000025|2025-04-12|CANCELLED|996.85
O00000000004|C000000023|2025-10-24|CANCELLED|130.82
O00000000005|C000000018|2025-01-20|CANCELLED|132.05
O00000000006|C000000017|2025-05-20|CANCELLED|1077.41
O00000000007|C000000021|2025-10-20|SHIPPED|1599.57
O00000000008|C000000023|2025-11-06|OPEN|1503.44
O00000000009|C000000017|2025-05-21|NEW|879.74
O00000000010|C000000018|2025-08-06|OPEN|514.37
O00000000011|C000000010|2025-04-11|OPEN|389.20
O00000000012|C000000004|2025-06-23|SHIPPED|394.18
O00000000013|C000000023|2025-08-14|SHIPPED|189.03
O00000000014|C000000011|2025-03-28|CANCELLED|46.52
O00000000015|C000000017|2025-11-01|NEW|1660.64
O00000000016|C000000004|2025-12-02|CANCELLED|1152.09
O00000000017|C000000008|2025-12-17|SHIPPED|1640.42
O00000000018|C000000024|2025-10-05|SHIPPED|81.90
O00000000019|C000000021|2025-06-18|NEW|883.33
O00000000020|C000000011|2025-07-07|NEW|214.17
O00000000021|C000000009|2025-10-07|SHIPPED|645.21
O00000000022|C000000011|2025-06-16|NEW|415.64
O00000000023|C000000004|2025-12-10|CANCELLED|244.16
O00000000024|C000000010|2025-05-23|NEW|991.32
O00000000025|C000000029|2025-08-25|CANCELLED|1561.43
O00000000026|C000000009|2025-11-05|OPEN|1503.11
O00000000027|C000000014|2025-09-13|OPEN|1863.23
O00000000028|C000000025|2025-02-08|SHIPPED|1292.90
O00000000029|C000000008|2025-05-02|SHIPPED|1449.63
O00000000030|C000000010|2025-11-25|NEW|894.70
O00000000031|C000000014|2025-11-22|CANCELLED|147.22
O00000000032|C000000008|2025-12-18|SHIPPED|945.70
O00000000033|C000000013|2025-05-19|CANCELLED|1638.77
O00000000034|C000000013|2025-09-15|NEW|1057.27
O00000000035|C000000006|2025-12-25|CANCELLED|1235.61
O00000000036|C000000003|2025-02-06|SHIPPED|745.27
O00000000037|C000000027|2025-10-19|CANCELLED|1045.37
O00000000038|C000000018|2025-05-16|CANCELLED|1043.07
O00000000039|C000000015|2025-11-16|SHIPPED|1971.05
O00000000040|C000000026|2025-12-02|OPEN|178.14
O00000000041|C000000022|2025-01-16|NEW|1308.19
O00000000042|C000000023|2025-05-08|SHIPPED|1395.88
O00000000043|C000000005|2025-02-24|OPEN|1338.84
O00000000044|C000000028|2025-02-06|SHIPPED|535.47
O00000000045|C000000006|2025-01-07|CANCELLED|104.06
O00000000046|C000000030|2025-01-06|OPEN|1889.54
O00000000047|C000000021|2025-03-15|OPEN|1913.97
O00000000048|C000000004|2025-07-12|CANCELLED|308.05
O00000000049|C000000010|2025-05-14|NEW|841.62
O00000000050|C000000015|2025-07-26|NEW|1559.33
O00000000051|C000000003|2025-07-21|CANCELLED|1702.39
O00000000052|C000000001|2025-10-12|OPEN|318.23
O00000000053|C000000008|2025-01-10|OPEN|205.81
O00000000054|C000000005|2025-12-16|CANCELLED|852.56
O00000000055|C000000010|2025-05-27|CANCELLED|1440.35
O00000000056|C000000001|2025-12-02|CANCELLED|555.39
O00000000057|C000000011|2025-08-24|CANCELLED|1713.76
O00000000058|C000000017|2025-07-07|OPEN|168.52
O00000000059|C000000001|2025-02-14|OPEN|1315.85
O00000000060|C000000028|2025-08-02|OPEN|1756.04
O00000000061|C000000017|2025-07-17|NEW|1796.23
O00000000062|C000000016|2025-02-13|OPEN|1582.84
O00000000063|C000000009|2025-07-15|OPEN|1688.20
O00000000064|C000000012|2025-11-21|NEW|1011.24
O00000000065|C000000023|2025-05-13|NEW|636.52
O00000000066|C000000018|2025-03-02|OPEN|979.71
O00000000067|C000000021|2025-09-05|NEW|631.07
O00000000068|C000000006|2025-06-12|CANCELLED|1033.50
O00000000069|C000000015|2025-09-04|CANCELLED|1055.93
O00000000070|C000000028|2025-12-18|SHIPPED|933.58
O00000000071|C000000009|2025-11-22|OPEN|1995.46
O00000000072|C000000009|2025-06-01|OPEN|1536.81
O00000000073|C000000006|2025-07-06|CANCELLED|69.91
O00000000074|C000000025|2025-04-17|SHIPPED|1582.25
O00000000075|C000000003|2025-05-27|NEW|777.45
O00000000076|C000000019|2025-10-15|OPEN|775.11
O00000000077|C000000023|2025-09-15|CANCELLED|1361.38
O00000000078|C000000003|2025-08-10|CANCELLED|49.85
O00000000079|C000000002|2025-04-16|SHIPPED|471.67
O00000000080|C000000029|2025-01-02|OPEN|1021.03
