TRANS_ID,TRANS_TS,SERVICE_CODE,INIT_CHANNEL,SCHEME_CODE,SCA_APPLIED,NON_SCA_REASON,FRAUD_FLAG,FRAUD_ORIGIN,AMOUNT_EUR,CURRENCY,PAYER_COUNTRY,PAYEE_COUNTRY,POS_COUNTRY,MCC
1,2025-01-29 04:47:06,CARD,PAPER,MASTERCARD,Y,NA,N,,18.32,EUR,HU,PL,HU,5812
2,2025-03-11 13:14:28,CREDIT_TRANSFER,ELECTRONIC,SEPA_SCT_INST,Y,NA,N,,109.13,EUR,CY,NL,,
3,2025-01-14 02:24:06,CREDIT_TRANSFER,ELECTRONIC,SEPA_SCT_INST,Y,NA,N,,701.75,EUR,GR,BG,,
4,2025-03-22 19:56:55,MONEY_REMITTANCE,ELECTRONIC,,Y,NA,N,,89.21,EUR,GR,EE,,
5,2025-01-13 12:17:29,CREDIT_TRANSFER,PAPER,SEPA_CT,Y,NA,N,,798.60,EUR,CZ,RO,,
6,2025-03-10 23:15:10,CARD,PAPER,MASTERCARD,Y,NA,N,,28.30,EUR,EE,PT,EE,4111
7,2025-02-10 06:41:31,CREDIT_TRANSFER,MOBILE,SEPA_CT,Y,NA,N,,390.76,EUR,SK,SE,,
8,2025-01-18 16:31:05,DIRECT_DEBIT,REMOTE_ELECTRONIC,,Y,NA,N,,40.13,EUR,SE,DE,,
9,2025-03-01 16:16:35,CARD,ELECTRONIC,VISA,Y,NA,N,,15.58,EUR,GB,NO,NO,4111
10,2025-02-03 16:48:11,DIRECT_DEBIT,PIS,SEPA_DD_B2B,Y,NA,N,,245.14,EUR,LT,DK,,
11,2025-03-09 00:38:20,CREDIT_TRANSFER,ELECTRONIC,SEPA_SCT_INST,Y,NA,N,,682.28,EUR,LV,DE,,
12,2025-01-11 23:31:52,CREDIT_TRANSFER,MOBILE,SEPA_CT,Y,NA,N,,88.90,EUR,ES,GB,,
13,2025-03-30 06:45:19,CARD,PIS,VISA,N,OTH,N,,27.64,EUR,SK,GB,GB,5812
14,2025-01-01 02:45:40,CREDIT_TRANSFER,REMOTE_ELECTRONIC,SEPA_SCT_INST,Y,NA,N,,114.16,EUR,FR,IT,,
15,2025-03-15 18:30:15,CARD,ELECTRONIC,VISA,Y,NA,N,,32.85,EUR,DK,GR,GR,4111
16,2025-01-08 12:46:21,CARD,REMOTE_ELECTRONIC,VISA,N,LVA,N,,17.82,EUR,DK,BG,DK,4121
17,2025-03-12 03:03:41,E_MONEY,PAPER,EMONEY,Y,NA,N,,13.77,EUR,MT,RO,,
18,2025-02-18 00:24:16,CREDIT_TRANSFER,ELECTRONIC,SEPA_CT,Y,NA,N,,1861.47,EUR,DK,HU,,
19,2025-01-28 01:37:47,CARD,ELECTRONIC,VISA,Y,NA,N,,19.71,EUR,MT,DE,LV,4814
20,2025-01-16 18:15:37,CARD,REMOTE_ELECTRONIC,MASTERCARD,Y,NA,N,,84.66,EUR,PL,DE,CY,4111
21,2025-03-27 20:19:29,CARD,ELECTRONIC,VISA,Y,NA,N,,19.00,EUR,FI,DK,PL,5812
22,2025-02-01 11:18:10,CREDIT_TRANSFER,MOBILE,SEPA_CT,Y,NA,N,,107.91,EUR,EE,RO,,
23,2025-01-14 23:35:09,CASH_WITHDRAWAL,ELECTRONIC,,Y,NA,N,,77.96,EUR,PT,BE,,
24,2025-01-07 02:40:27,E_MONEY,REMOTE_ELECTRONIC,EMONEY,Y,NA,Y,PAYER,37.50,EUR,NO,NL,,
25,2025-01-02 03:04:56,CARD,REMOTE_ELECTRONIC,MASTERCARD,Y,NA,N,,36.17,EUR,RO,SE,CY,5732
26,2025-02-15 06:43:15,DIRECT_DEBIT,MOBILE,SEPA_DD_B2B,N,LVA,N,,213.08,EUR,HU,DE,,
27,2025-02-22 00:11:47,CREDIT_TRANSFER,REMOTE_ELECTRONIC,SEPA_CT,Y,NA,N,,512.93,EUR,FI,HU,,
28,2025-01-05 15:14:12,CREDIT_TRANSFER,REMOTE_ELECTRONIC,SEPA_SCT_INST,Y,NA,N,,680.99,EUR,NO,DK,,
29,2025-01-09 08:22:41,CARD,ELECTRONIC,MASTERCARD,Y,NA,N,,27.88,EUR,LT,PT,LT,6011
